scene_name,dimensions,is_untouched_test,spatial_source,pixel_area_km2,total_patches,nonempty_patches,empty_patches,gt_oil_pixels,gt_area_km2,raw_pred_oil_pixels,raw_pred_area_km2,post_pred_oil_pixels,post_pred_area_km2,scene_global_dice,scene_global_iou,scene_global_precision,scene_global_recall,scene_global_f1,macro_patch_dice,macro_patch_iou,macro_patch_precision,macro_patch_recall,macro_patch_f1,nonempty_patch_dice,nonempty_patch_precision,nonempty_patch_recall,empty_patch_precision,post_global_dice,post_global_precision,post_global_recall
2018_09_26.tif,2555x5083,True,GeoTIFF metadata (10.00m x 10.00m),0.0001,200,14,186,425005,42.5005,677547,67.7547,774672,77.4672,0.6994,0.5378,0.5691,0.9072,0.6994,0.8761,0.87,0.8773,0.9903,0.8761,0.8011,0.8186,0.862,0.8817,0.6607,0.5116,0.9325
2018_12_19_d.tif,1116x2340,True,GeoTIFF metadata (10.00m x 10.00m),0.0001,50,11,39,59487,5.9487,452795,45.2795,570842,57.0842,0.1907,0.1054,0.1076,0.8358,0.1907,0.3271,0.3089,0.3115,0.8918,0.3271,0.3958,0.3251,0.5084,0.3077,0.1611,0.0888,0.8622
2018_12_19_e.tif,2380x3772,True,GeoTIFF metadata (10.00m x 10.00m),0.0001,150,9,141,41400,4.14,40348,4.0348,46609,4.6609,0.511,0.3432,0.5176,0.5045,0.511,0.9281,0.9256,0.9394,0.9527,0.9281,0.2465,0.4348,0.2114,0.9716,0.5222,0.493,0.555
2018_12_19_f_.tif,2554x3250,True,GeoTIFF metadata (10.00m x 10.00m),0.0001,130,30,100,596199,59.6199,2063495,206.3495,2195807,219.5807,0.3227,0.1924,0.2081,0.7182,0.3227,0.5833,0.5683,0.6307,0.8799,0.5833,0.5274,0.7329,0.4795,0.6,0.3266,0.2077,0.763
20191015.tif,1683x5050,True,GeoTIFF metadata (10.00m x 10.00m),0.0001,140,27,113,441360,44.136,598588,59.8588,699334,69.9334,0.5017,0.3349,0.4313,0.5997,0.5017,0.7542,0.7341,0.8025,0.8904,0.7542,0.5034,0.7537,0.4315,0.8142,0.5087,0.4109,0.6674
20200224_b.tif,1709x2590,True,GeoTIFF metadata (10.00m x 10.00m),0.0001,77,5,72,44911,4.4911,8868,0.8868,10915,1.0915,0.3212,0.1914,0.9741,0.1923,0.3212,0.9533,0.9481,0.9734,0.9482,0.9533,0.2808,0.5908,0.2016,1.0,0.3779,0.9665,0.2349
20200319b.tif,1528x2641,False,GeoTIFF metadata (10.00m x 10.00m),0.0001,66,6,60,38732,3.8732,13684,1.3684,21156,2.1156,0.1253,0.0668,0.24,0.0848,0.1253,0.858,0.8541,0.8788,0.9148,0.858,0.105,0.3333,0.0623,0.9333,0.1841,0.2606,0.1423
